complaint_id,timestamp,customer_id,channel,region,branch,product,language,complaint_text,category_label
CMP-00181,2026-05-09T14:07,CUST-5480,Chat,North,Jaipur MI Road,Internet Banking,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00182,2026-05-09T14:52,CUST-2294,Chat,West,Bengaluru MG Road,Internet Banking,Hindi,Password reset link keeps failing with server error.,Internet Banking
CMP-00183,2026-05-09T15:37,CUST-4920,Branch,North,Jaipur MI Road,Current,Marathi,ATM debited cash but did not dispense money at Bengaluru MG Road.,Cards/ATM
CMP-00184,2026-05-09T16:22,CUST-3252,Email,Central,Lucknow Hazratganj,UPI,Marathi,ATM debited cash but did not dispense money at Pune Camp.,Cards/ATM
CMP-00185,2026-05-09T17:07,CUST-1969,Email,Central,Lucknow Hazratganj,Loan,Marathi,Password reset link keeps failing with server error.,Internet Banking
CMP-00186,2026-05-09T17:52,CUST-7504,Call Center,South,Bengaluru MG Road,Savings,English,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00187,2026-05-09T18:37,CUST-9901,Social Media,West,Lucknow Hazratganj,Loan,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00188,2026-05-09T19:22,CUST-4050,Email,East,Bengaluru MG Road,Loan,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00189,2026-05-09T20:07,CUST-2421,Call Center,North,Lucknow Hazratganj,Current,Hindi,ATM debited cash but did not dispense money at Pune Camp.,Cards/ATM
CMP-00190,2026-05-09T20:52,CUST-5374,Chat,East,Jaipur MI Road,Internet Banking,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00191,2026-05-09T21:37,CUST-8625,Chat,South,Pune Camp,Internet Banking,Marathi,Transaction pending for more than 25 hours in UPI app.,UPI/Payments
CMP-00192,2026-05-09T22:22,CUST-4590,Branch,West,Lucknow Hazratganj,UPI,Marathi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00193,2026-05-09T23:07,CUST-4578,Branch,Central,Mumbai Main,Loan,Hindi,Cheque book request not processed and no tracking available.,Account Services
CMP-00194,2026-05-09T23:52,CUST-9972,Social Media,South,Jaipur MI Road,Loan,English,Account statement email not received despite request. This issue has been repeated multiple times and still unresolved.,Account Services
CMP-00195,2026-05-10T00:37,CUST-9008,Email,Central,Pune Camp,Savings,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00196,2026-05-10T01:22,CUST-6049,Email,West,Bengaluru MG Road,Savings,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00197,2026-05-10T02:07,CUST-9866,Email,North,Pune Camp,Savings,Hindi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00198,2026-05-10T02:52,CUST-7266,Call Center,West,Pune Camp,Savings,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00199,2026-05-10T03:37,CUST-9802,Call Center,Central,Lucknow Hazratganj,Internet Banking,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00200,2026-05-10T04:22,CUST-4762,Branch,West,Bengaluru MG Road,Current,Hindi,My UPI payment of Rs 20053 failed but amount got debited.,UPI/Payments
CMP-00201,2026-05-10T05:07,CUST-1256,Branch,South,Mumbai Main,Savings,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00202,2026-05-10T05:52,CUST-7590,Call Center,South,Jaipur MI Road,Current,English,Transaction pending for more than 45 hours in UPI app.,UPI/Payments
CMP-00203,2026-05-10T06:37,CUST-6253,Branch,East,Lucknow Hazratganj,Internet Banking,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00204,2026-05-10T07:22,CUST-3869,Call Center,Central,Pune Camp,Savings,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00205,2026-05-10T08:07,CUST-5913,Call Center,South,Jaipur MI Road,UPI,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00206,2026-05-10T08:52,CUST-7824,Social Media,Central,Lucknow Hazratganj,UPI,English,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00207,2026-05-10T09:37,CUST-2514,Social Media,South,Mumbai Main,Credit Card,Hindi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00208,2026-05-10T10:22,CUST-4555,Call Center,South,Bengaluru MG Road,Credit Card,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00209,2026-05-10T11:07,CUST-4350,Call Center,South,Jaipur MI Road,Credit Card,Hindi,ATM debited cash but did not dispense money at Lucknow Hazratganj.,Cards/ATM
CMP-00210,2026-05-10T11:52,CUST-9401,Call Center,West,Mumbai Main,Internet Banking,Hindi,Password reset link keeps failing with server error.,Internet Banking
CMP-00211,2026-05-10T12:37,CUST-4625,Branch,North,Bengaluru MG Road,Loan,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00212,2026-05-10T13:22,CUST-7223,Social Media,South,Pune Camp,Loan,Marathi,Account statement email not received despite request.,Account Services
CMP-00213,2026-05-10T14:07,CUST-6770,Branch,South,Jaipur MI Road,UPI,English,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00214,2026-05-10T14:52,CUST-1794,Email,West,Lucknow Hazratganj,Internet Banking,English,Account statement email not received despite request.,Account Services
CMP-00215,2026-05-10T15:37,CUST-1990,Social Media,Central,Pune Camp,Internet Banking,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00216,2026-05-10T16:22,CUST-5501,Social Media,East,Mumbai Main,Loan,Marathi,My UPI payment of Rs 35379 failed but amount got debited. This issue has been repeated multiple times and still unresolved.,UPI/Payments
CMP-00217,2026-05-10T17:07,CUST-4144,Social Media,Central,Bengaluru MG Road,Credit Card,Hindi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00218,2026-05-10T17:52,CUST-4700,Chat,North,Mumbai Main,Savings,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00219,2026-05-10T18:37,CUST-2354,Call Center,West,Bengaluru MG Road,Loan,English,Password reset link keeps failing with server error.,Internet Banking
CMP-00220,2026-05-10T19:22,CUST-2218,Chat,Central,Jaipur MI Road,Internet Banking,English,Address update request pending for 20 days.,Account Services
CMP-00221,2026-05-10T20:07,CUST-7525,Email,East,Lucknow Hazratganj,Loan,English,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00222,2026-05-10T20:52,CUST-3292,Email,Central,Bengaluru MG Road,Savings,English,Cheque book request not processed and no tracking available.,Account Services
CMP-00223,2026-05-10T21:37,CUST-7499,Chat,North,Bengaluru MG Road,UPI,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00224,2026-05-10T22:22,CUST-7227,Email,Central,Bengaluru MG Road,Current,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00225,2026-05-10T23:07,CUST-6188,Chat,North,Mumbai Main,Savings,Hindi,My UPI payment of Rs 18061 failed but amount got debited.,UPI/Payments
CMP-00226,2026-05-10T23:52,CUST-8353,Social Media,Central,Jaipur MI Road,UPI,English,Password reset link keeps failing with server error.,Internet Banking
CMP-00227,2026-05-11T00:37,CUST-6315,Call Center,North,Bengaluru MG Road,UPI,Hindi,My UPI payment of Rs 23694 failed but amount got debited.,UPI/Payments
CMP-00228,2026-05-11T01:22,CUST-7237,Branch,South,Bengaluru MG Road,Credit Card,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00229,2026-05-11T02:07,CUST-8933,Email,East,Bengaluru MG Road,Current,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00230,2026-05-11T02:52,CUST-5991,Email,West,Bengaluru MG Road,Loan,Hindi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00231,2026-05-11T03:37,CUST-4290,Call Center,East,Lucknow Hazratganj,UPI,Hindi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00232,2026-05-11T04:22,CUST-6339,Call Center,East,Pune Camp,Credit Card,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00233,2026-05-11T05:07,CUST-8563,Branch,West,Bengaluru MG Road,Internet Banking,English,Address update request pending for 7 days. This issue has been repeated multiple times and still unresolved.,Account Services
CMP-00234,2026-05-11T05:52,CUST-3525,Call Center,West,Mumbai Main,UPI,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00235,2026-05-11T06:37,CUST-6890,Social Media,Central,Mumbai Main,Savings,English,Net banking page times out while downloading statement.,Internet Banking
CMP-00236,2026-05-11T07:22,CUST-7547,Chat,West,Mumbai Main,Savings,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00237,2026-05-11T08:07,CUST-4621,Call Center,East,Pune Camp,UPI,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00238,2026-05-11T08:52,CUST-5840,Call Center,North,Mumbai Main,Internet Banking,English,Account statement email not received despite request.,Account Services
CMP-00239,2026-05-11T09:37,CUST-8801,Email,West,Pune Camp,Credit Card,English,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00240,2026-05-11T10:22,CUST-3692,Branch,Central,Lucknow Hazratganj,Loan,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00241,2026-05-11T11:07,CUST-4053,Call Center,West,Mumbai Main,Internet Banking,Marathi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00242,2026-05-11T11:52,CUST-4371,Chat,North,Jaipur MI Road,Savings,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00243,2026-05-11T12:37,CUST-9019,Social Media,East,Jaipur MI Road,UPI,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00244,2026-05-11T13:22,CUST-5873,Social Media,Central,Mumbai Main,Internet Banking,English,Net banking page times out while downloading statement.,Internet Banking
CMP-00245,2026-05-11T14:07,CUST-3316,Social Media,West,Pune Camp,Loan,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00246,2026-05-11T14:52,CUST-3838,Social Media,South,Pune Camp,Credit Card,English,Cheque book request not processed and no tracking available.,Account Services
CMP-00247,2026-05-11T15:37,CUST-8939,Branch,South,Pune Camp,Loan,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00248,2026-05-11T16:22,CUST-8272,Call Center,South,Mumbai Main,Loan,English,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00249,2026-05-11T17:07,CUST-8492,Social Media,West,Jaipur MI Road,Loan,English,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00250,2026-05-11T17:52,CUST-1681,Call Center,Central,Lucknow Hazratganj,UPI,English,Address update request pending for 13 days.,Account Services
CMP-00251,2026-05-11T18:37,CUST-6711,Email,West,Mumbai Main,Current,English,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00252,2026-05-11T19:22,CUST-3281,Branch,South,Mumbai Main,Loan,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00253,2026-05-11T20:07,CUST-5794,Chat,Central,Bengaluru MG Road,Loan,Marathi,Cheque book request not processed and no tracking available.,Account Services
CMP-00254,2026-05-11T20:52,CUST-3078,Branch,South,Lucknow Hazratganj,Internet Banking,Hindi,My UPI payment of Rs 49658 failed but amount got debited.,UPI/Payments
CMP-00255,2026-05-11T21:37,CUST-7786,Call Center,West,Mumbai Main,Internet Banking,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00256,2026-05-11T22:22,CUST-6362,Social Media,North,Mumbai Main,Internet Banking,Hindi,Net banking page times out while downloading statement.,Internet Banking
CMP-00257,2026-05-11T23:07,CUST-8039,Branch,West,Bengaluru MG Road,Credit Card,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00258,2026-05-11T23:52,CUST-1793,Email,North,Pune Camp,Savings,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00259,2026-05-12T00:37,CUST-3161,Chat,South,Bengaluru MG Road,Savings,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00260,2026-05-12T01:22,CUST-6005,Branch,West,Mumbai Main,Internet Banking,English,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00261,2026-05-12T02:07,CUST-8291,Email,North,Bengaluru MG Road,Savings,Hindi,My UPI payment of Rs 31748 failed but amount got debited.,UPI/Payments
CMP-00262,2026-05-12T02:52,CUST-2678,Email,East,Bengaluru MG Road,Credit Card,English,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00263,2026-05-12T03:37,CUST-1138,Social Media,South,Pune Camp,Credit Card,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00264,2026-05-12T04:22,CUST-4559,Email,North,Lucknow Hazratganj,Savings,Marathi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00265,2026-05-12T05:07,CUST-2380,Branch,Central,Jaipur MI Road,Loan,Marathi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00266,2026-05-12T05:52,CUST-9348,Branch,West,Bengaluru MG Road,Internet Banking,English,Cheque book request not processed and no tracking available.,Account Services
CMP-00267,2026-05-12T06:37,CUST-2163,Social Media,North,Bengaluru MG Road,Credit Card,English,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00268,2026-05-12T07:22,CUST-2195,Email,Central,Mumbai Main,Savings,Hindi,Net banking page times out while downloading statement.,Internet Banking
CMP-00269,2026-05-12T08:07,CUST-9209,Call Center,West,Pune Camp,Savings,Marathi,ATM debited cash but did not dispense money at Bengaluru MG Road.,Cards/ATM
CMP-00270,2026-05-12T08:52,CUST-9377,Branch,South,Jaipur MI Road,Credit Card,Hindi,Account statement email not received despite request.,Account Services
CMP-00271,2026-05-12T09:37,CUST-4909,Email,South,Mumbai Main,UPI,English,Account statement email not received despite request.,Account Services
CMP-00272,2026-05-12T10:22,CUST-3248,Email,South,Pune Camp,Credit Card,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00273,2026-05-12T11:07,CUST-5403,Email,North,Bengaluru MG Road,UPI,Hindi,Account statement email not received despite request.,Account Services
CMP-00274,2026-05-12T11:52,CUST-9368,Chat,North,Pune Camp,Loan,English,Address update request pending for 20 days.,Account Services
CMP-00275,2026-05-12T12:37,CUST-9336,Email,North,Mumbai Main,Current,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00276,2026-05-12T13:22,CUST-7870,Branch,East,Lucknow Hazratganj,UPI,Marathi,Password reset link keeps failing with server error.,Internet Banking
CMP-00277,2026-05-12T14:07,CUST-1862,Branch,South,Jaipur MI Road,Savings,Hindi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00278,2026-05-12T14:52,CUST-1130,Chat,South,Bengaluru MG Road,Loan,Hindi,Transaction pending for more than 21 hours in UPI app.,UPI/Payments
CMP-00279,2026-05-12T15:37,CUST-4201,Social Media,South,Lucknow Hazratganj,Savings,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00280,2026-05-12T16:22,CUST-7164,Chat,North,Lucknow Hazratganj,Loan,English,My UPI payment of Rs 35990 failed but amount got debited. This issue has been repeated multiple times and still unresolved.,UPI/Payments
CMP-00281,2026-05-12T17:07,CUST-4792,Social Media,West,Bengaluru MG Road,UPI,Marathi,Password reset link keeps failing with server error. This issue has been repeated multiple times and still unresolved.,Internet Banking
CMP-00282,2026-05-12T17:52,CUST-2020,Call Center,South,Lucknow Hazratganj,Credit Card,Hindi,Beneficiary not receiving money even after successful status. This issue has been repeated multiple times and still unresolved.,UPI/Payments
CMP-00283,2026-05-12T18:37,CUST-2223,Branch,South,Jaipur MI Road,Savings,English,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00284,2026-05-12T19:22,CUST-6870,Branch,West,Bengaluru MG Road,UPI,Hindi,My UPI payment of Rs 29962 failed but amount got debited.,UPI/Payments
CMP-00285,2026-05-12T20:07,CUST-6370,Branch,North,Lucknow Hazratganj,Credit Card,Hindi,My UPI payment of Rs 10829 failed but amount got debited. This issue has been repeated multiple times and still unresolved.,UPI/Payments
CMP-00286,2026-05-12T20:52,CUST-7625,Call Center,Central,Jaipur MI Road,Current,English,Address update request pending for 10 days. This issue has been repeated multiple times and still unresolved.,Account Services
CMP-00287,2026-05-12T21:37,CUST-4641,Branch,South,Pune Camp,Credit Card,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00288,2026-05-12T22:22,CUST-2228,Email,North,Lucknow Hazratganj,Internet Banking,Hindi,Suspicious login alert came from unknown location.,Fraud/Security
CMP-00289,2026-05-12T23:07,CUST-8096,Call Center,West,Mumbai Main,UPI,Marathi,ATM debited cash but did not dispense money at Pune Camp. This issue has been repeated multiple times and still unresolved.,Cards/ATM
CMP-00290,2026-05-12T23:52,CUST-3435,Email,Central,Jaipur MI Road,Loan,English,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00291,2026-05-13T00:37,CUST-5583,Call Center,South,Pune Camp,Current,Marathi,Received phishing call pretending to be bank officer. This issue has been repeated multiple times and still unresolved.,Fraud/Security
CMP-00292,2026-05-13T01:22,CUST-6883,Call Center,Central,Pune Camp,Credit Card,Marathi,Address update request pending for 2 days.,Account Services
CMP-00293,2026-05-13T02:07,CUST-4588,Email,East,Mumbai Main,UPI,Marathi,Cheque book request not processed and no tracking available.,Account Services
CMP-00294,2026-05-13T02:52,CUST-5366,Social Media,North,Lucknow Hazratganj,Loan,Hindi,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00295,2026-05-13T03:37,CUST-6878,Social Media,North,Bengaluru MG Road,Loan,Marathi,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00296,2026-05-13T04:22,CUST-1621,Email,North,Lucknow Hazratganj,Loan,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00297,2026-05-13T05:07,CUST-3137,Chat,South,Bengaluru MG Road,Savings,English,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00298,2026-05-13T05:52,CUST-2188,Chat,West,Jaipur MI Road,Savings,Hindi,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00299,2026-05-13T06:37,CUST-3854,Social Media,Central,Bengaluru MG Road,Current,Marathi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00300,2026-05-13T07:22,CUST-1029,Social Media,West,Jaipur MI Road,Savings,English,Address update request pending for 11 days.,Account Services
CMP-00301,2026-05-13T08:07,CUST-3304,Chat,North,Lucknow Hazratganj,Credit Card,Hindi,Cheque book request not processed and no tracking available.,Account Services
CMP-00302,2026-05-13T08:52,CUST-4435,Branch,North,Bengaluru MG Road,Credit Card,English,Card blocked without notice and merchant payment failed. This issue has been repeated multiple times and still unresolved.,Cards/ATM
CMP-00303,2026-05-13T09:37,CUST-7783,Call Center,West,Bengaluru MG Road,Loan,Hindi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00304,2026-05-13T10:22,CUST-1547,Chat,North,Bengaluru MG Road,Credit Card,English,Transaction pending for more than 43 hours in UPI app.,UPI/Payments
CMP-00305,2026-05-13T11:07,CUST-2525,Chat,Central,Jaipur MI Road,UPI,Marathi,Transaction pending for more than 26 hours in UPI app.,UPI/Payments
CMP-00306,2026-05-13T11:52,CUST-2659,Chat,South,Lucknow Hazratganj,UPI,Marathi,Transaction pending for more than 12 hours in UPI app.,UPI/Payments
CMP-00307,2026-05-13T12:37,CUST-2571,Email,West,Jaipur MI Road,Loan,Hindi,Account statement email not received despite request.,Account Services
CMP-00308,2026-05-13T13:22,CUST-8869,Branch,North,Mumbai Main,Current,English,ATM debited cash but did not dispense money at Mumbai Main.,Cards/ATM
CMP-00309,2026-05-13T14:07,CUST-8715,Call Center,East,Mumbai Main,Internet Banking,Marathi,Received phishing call pretending to be bank officer.,Fraud/Security
CMP-00310,2026-05-13T14:52,CUST-5313,Call Center,West,Bengaluru MG Road,Current,Hindi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00311,2026-05-13T15:37,CUST-9871,Call Center,Central,Lucknow Hazratganj,Loan,English,Address update request pending for 5 days.,Account Services
CMP-00312,2026-05-13T16:22,CUST-8803,Chat,North,Pune Camp,Internet Banking,English,Net banking page times out while downloading statement.,Internet Banking
CMP-00313,2026-05-13T17:07,CUST-8357,Branch,South,Lucknow Hazratganj,Current,English,Account statement email not received despite request.,Account Services
CMP-00314,2026-05-13T17:52,CUST-3422,Social Media,East,Bengaluru MG Road,Internet Banking,English,Transaction pending for more than 45 hours in UPI app.,UPI/Payments
CMP-00315,2026-05-13T18:37,CUST-9514,Call Center,North,Jaipur MI Road,Loan,Marathi,Transaction pending for more than 27 hours in UPI app.,UPI/Payments
CMP-00316,2026-05-13T19:22,CUST-2641,Email,Central,Mumbai Main,Credit Card,Marathi,Unable to login to internet banking since yesterday.,Internet Banking
CMP-00317,2026-05-13T20:07,CUST-1613,Branch,East,Pune Camp,Current,Marathi,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00318,2026-05-13T20:52,CUST-6431,Branch,North,Pune Camp,Credit Card,Hindi,Account statement email not received despite request.,Account Services
CMP-00319,2026-05-13T21:37,CUST-2609,Branch,South,Bengaluru MG Road,Internet Banking,Hindi,Transaction pending for more than 21 hours in UPI app.,UPI/Payments
CMP-00320,2026-05-13T22:22,CUST-4463,Call Center,West,Jaipur MI Road,Credit Card,English,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00321,2026-05-13T23:07,CUST-9589,Social Media,North,Lucknow Hazratganj,Current,English,Address update request pending for 18 days.,Account Services
CMP-00322,2026-05-13T23:52,CUST-5488,Chat,West,Jaipur MI Road,UPI,Marathi,My UPI payment of Rs 2667 failed but amount got debited.,UPI/Payments
CMP-00323,2026-05-14T00:37,CUST-3909,Call Center,Central,Jaipur MI Road,Credit Card,Hindi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00324,2026-05-14T01:22,CUST-1813,Branch,Central,Lucknow Hazratganj,Current,Marathi,Credit card payment posted twice and statement is incorrect. This issue has been repeated multiple times and still unresolved.,Cards/ATM
CMP-00325,2026-05-14T02:07,CUST-1145,Call Center,South,Lucknow Hazratganj,Loan,English,Card blocked without notice and merchant payment failed. This issue has been repeated multiple times and still unresolved.,Cards/ATM
CMP-00326,2026-05-14T02:52,CUST-6713,Call Center,East,Lucknow Hazratganj,UPI,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00327,2026-05-14T03:37,CUST-7131,Social Media,Central,Jaipur MI Road,Credit Card,Hindi,Suspicious login alert came from unknown location. This issue has been repeated multiple times and still unresolved.,Fraud/Security
CMP-00328,2026-05-14T04:22,CUST-5536,Chat,East,Lucknow Hazratganj,Current,Marathi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00329,2026-05-14T05:07,CUST-9148,Chat,East,Pune Camp,UPI,Hindi,ATM debited cash but did not dispense money at Lucknow Hazratganj.,Cards/ATM
CMP-00330,2026-05-14T05:52,CUST-4643,Social Media,West,Bengaluru MG Road,Loan,Hindi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00331,2026-05-14T06:37,CUST-5237,Social Media,South,Bengaluru MG Road,Internet Banking,English,Card blocked without notice and merchant payment failed.,Cards/ATM
CMP-00332,2026-05-14T07:22,CUST-5817,Call Center,North,Pune Camp,Savings,Marathi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00333,2026-05-14T08:07,CUST-7253,Social Media,East,Pune Camp,Savings,English,Account statement email not received despite request.,Account Services
CMP-00334,2026-05-14T08:52,CUST-3954,Email,West,Bengaluru MG Road,Internet Banking,English,ATM debited cash but did not dispense money at Pune Camp.,Cards/ATM
CMP-00335,2026-05-14T09:37,CUST-3762,Social Media,South,Pune Camp,Savings,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00336,2026-05-14T10:22,CUST-7280,Email,North,Jaipur MI Road,Current,Marathi,Cheque book request not processed and no tracking available.,Account Services
CMP-00337,2026-05-14T11:07,CUST-5076,Branch,East,Bengaluru MG Road,Current,English,Loan EMI auto-debit failed despite sufficient balance.,Loan/Credit
CMP-00338,2026-05-14T11:52,CUST-5885,Chat,West,Jaipur MI Road,Loan,Marathi,Net banking page times out while downloading statement.,Internet Banking
CMP-00339,2026-05-14T12:37,CUST-4087,Branch,West,Mumbai Main,Current,English,Personal loan closure not updated and extra interest charged.,Loan/Credit
CMP-00340,2026-05-14T13:22,CUST-3017,Chat,North,Pune Camp,Internet Banking,Hindi,"Unauthorized transaction detected on my account, please block immediately.",Fraud/Security
CMP-00341,2026-05-14T14:07,CUST-1323,Email,North,Pune Camp,UPI,Hindi,Account statement email not received despite request.,Account Services
CMP-00342,2026-05-14T14:52,CUST-1152,Chat,West,Mumbai Main,Internet Banking,Marathi,Beneficiary not receiving money even after successful status.,UPI/Payments
CMP-00343,2026-05-14T15:37,CUST-2718,Social Media,Central,Mumbai Main,Credit Card,English,Credit score impacted due to incorrect overdue on loan account.,Loan/Credit
CMP-00344,2026-05-14T16:22,CUST-4304,Chat,West,Bengaluru MG Road,Current,English,Transaction pending for more than 40 hours in UPI app.,UPI/Payments
CMP-00345,2026-05-14T17:07,CUST-1208,Email,North,Jaipur MI Road,Internet Banking,Hindi,Cheque book request not processed and no tracking available.,Account Services
CMP-00346,2026-05-14T17:52,CUST-8483,Chat,East,Pune Camp,Savings,English,ATM debited cash but did not dispense money at Bengaluru MG Road.,Cards/ATM
CMP-00347,2026-05-14T18:37,CUST-2556,Email,North,Lucknow Hazratganj,Internet Banking,Marathi,ATM debited cash but did not dispense money at Pune Camp.,Cards/ATM
CMP-00348,2026-05-14T19:22,CUST-2522,Chat,East,Lucknow Hazratganj,Savings,Hindi,Credit card payment posted twice and statement is incorrect.,Cards/ATM
CMP-00349,2026-05-14T20:07,CUST-3732,Email,South,Mumbai Main,Current,English,Password reset link keeps failing with server error.,Internet Banking
CMP-00350,2026-05-14T20:52,CUST-6875,Social Media,North,Lucknow Hazratganj,UPI,Hindi,Net banking page times out while downloading statement.,Internet Banking
